src,dst,w
39263,1421779,1
1228266,1421779,1
215146,1421779,1
164543,1326241,1
339211,1395960,1
972885,1406385,1
972885,1655863,1
1452312,1709141,1
1090210,1709141,1
1452312,1586237,1
1090210,1452312,1
1090210,1586237,1
1518078,1709141,1
1179506,1266461,2
432036,1183169,1
89157,432036,1
40242,1233735,1
1228266,1233735,1
215146,1233735,1
4698,1627045,1
1099122,1627045,1
1027614,1627045,1
